ID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,foldChange,log10padj
WBGene00002990,195.5295388,0.710723456,0.18431171,14.79269053,0.00012,0.001304053,1.636624616,2.884704809
WBGene00002991,167.6403958,-0.26686096,0.23172616,1.324158356,0.249847117,0.432000669,0.831125958,0.36451558
WBGene00002992,1224.728334,-0.117545578,0.102239006,1.321617833,0.250301907,0.4325953,0.921754476,0.363918203
WBGene00002994,3991.299253,-0.070594804,0.087190319,0.65555177,0.418134742,0.595236557,0.952245319,0.225310404
WBGene00002996,950.3335481,0.003044814,0.109003883,0.000809194,0.977306162,0.987149623,1.002112733,0.005617016
WBGene00002997,270.3682869,0.136016419,0.219254405,0.385310675,0.534774667,0.696605114,1.098866723,0.157013342
WBGene00002998,2029.550274,-0.234550367,0.103973833,5.084358195,0.024142611,0.09164822,0.849949855,1.037875965
WBGene00002999,746.4685595,-0.191122133,0.182877184,1.091508493,0.296137217,0.481260944,0.87592416,0.317619381
WBGene00003000,78.59300556,0.446787062,0.323243918,1.906748279,0.167324913,0.334586477,1.363001417,0.475491616
WBGene00003001,133.5647195,0.204083278,0.265697495,0.590671445,0.442159593,0.617127796,1.151954136,0.209624892
WBGene00003002,4827.270573,0.029451222,0.093805908,0.098573947,0.753547712,0.854634035,1.020623823,0.068219816
WBGene00003003,472.4586854,0.378519538,0.299715346,1.590832283,0.207207264,0.383249938,1.300007132,0.416517907
WBGene00003006,151.5846667,0.456046321,0.390450862,1.359555745,0.24361449,0.424977605,1.371777331,0.371633955
WBGene00003007,159.3343854,-0.30074504,0.224679322,1.78979084,0.180951649,0.351887442,0.811833039,0.453596231
WBGene00003008,9.924373993,0.760879089,0.806075916,0.884314859,0.347022591,0.529268742,1.694522847,0.276323754
WBGene00003009,4322.361063,0.00807968,0.083315664,0.009405625,0.922740211,0.957361095,1.005616119,0.018924225
WBGene00003010,1299.927146,-0.025613248,0.11439582,0.050214917,0.822689723,0.899745904,0.982402919,0.045880122
WBGene00003011,315.9404006,0.090631658,0.154153303,0.345910319,0.55643738,0.714427541,1.0648363,0.146041812
WBGene00003012,2247.833032,-0.007170142,0.065083577,0.012197676,0.912057981,0.950996249,0.995042366,0.021821196
WBGene00003014,1418.289096,0.111056557,0.108716582,1.043770149,0.306946253,0.492461424,1.080018898,0.307627783
WBGene00003015,100.2903292,-1.360576575,0.24732832,29.8260474,4.73E-08,1.30E-06,0.389426624,5.886036837
WBGene00003017,15.0337641,-1.87019873,1.028260005,3.150847479,0.07588754,0.200673911,0.273535743,0.697509086
WBGene00003018,27.63603591,2.005636124,1.156479087,2.82368446,0.09288297,0.228765409,4.015657219,0.640609643
WBGene00003019,165.4330709,0.290914463,0.400406678,0.526985132,0.467877138,0.639467984,1.223415503,0.194181194
WBGene00003020,2929.016303,-0.123891354,0.082670775,2.245194169,0.134030083,0.290361864,0.917708991,0.537060425
WBGene00003021,3233.948661,-0.102529908,0.106692704,0.923301615,0.336609567,0.52034913,0.93139826,0.283705167
WBGene00003022,1281.680363,-0.211908888,0.10761501,3.875750124,0.048988414,0.149791861,0.863394083,0.824511785
WBGene00003024,103.5687156,0.188412041,0.417612474,0.203369927,0.652014378,0.781500292,1.13950878,0.107070856
WBGene00003025,2829.08746,0.085502469,0.104359109,0.671233785,0.412621784,0.591405895,1.061057227,0.228114351
WBGene00003026,10358.05089,-0.04968761,0.118358201,0.176232831,0.674630877,0.798798852,0.966145508,0.097562568
WBGene00003029,32.47677595,-0.026992287,0.403628006,0.004499201,0.946521133,0.970217839,0.981464311,0.013130745
WBGene00003030,3149.506345,-0.099098556,0.096470689,1.055013234,0.304355313,0.489644627,0.933616164,0.310119007
WBGene00003031,18.16537676,-0.143811841,0.609955772,0.055670836,0.813474046,0.893428728,0.905124503,0.048940087
WBGene00003033,12.08420539,0.787200724,0.751231693,1.092874223,0.29583525,0.480896959,1.725722774,0.317947969
WBGene00003034,2206.361667,0.099805061,0.10730659,0.864931045,0.352362443,0.534890104,1.071628653,0.271735437
WBGene00003035,868.4126237,0.014837173,0.129523193,0.013288641,0.90822607,0.949389239,1.01033741,0.022555695
WBGene00003036,5144.40035,0.082489867,0.081795996,1.017009388,0.313229443,0.497693524,1.058843865,0.30303801
WBGene00003037,2742.786294,-0.003456163,0.083800121,0.001711794,0.966997874,0.98164522,0.997607238,0.008045444
WBGene00003038,657.6934114,0.023562134,0.147431455,0.025552778,0.872997374,0.927790266,1.016466123,0.032550188
WBGene00003040,1224.606154,0.227329304,0.111297629,4.167577092,0.041204684,0.13307954,1.170665822,0.87588871
WBGene00003041,1795.880002,0.017645716,0.076602518,0.053061307,0.817819499,0.896957844,1.012306184,0.047227968
WBGene00003043,1980.436821,-0.175789637,0.121487149,2.092845111,0.14799024,0.310583491,0.885282841,0.507821633
WBGene00003044,1795.842409,0.129195475,0.075661404,2.916245068,0.087691708,0.220523999,1.093683634,0.656544141
WBGene00003045,589.8293228,0.005357681,0.108828787,0.002483446,0.960254527,0.977151948,1.003720566,0.010037898
WBGene00003046,92.27206335,-0.015854496,0.306625774,0.002709294,0.958488149,0.976287101,0.989070665,0.010422449
WBGene00003047,2384.300384,0.152240907,0.067283427,5.117548691,0.023685051,0.090357847,1.111294282,1.044034125
WBGene00003048,1901.129053,0.111707054,0.124344899,0.807101855,0.368978478,0.550768109,1.080505978,0.259031215
WBGene00003052,6901.662145,-0.243151667,0.081878244,8.809237319,0.002997093,0.018802063,0.844897558,1.725794507
WBGene00003053,1948.835588,0.470938581,0.19125608,6.038396374,0.013997994,0.061270224,1.386010878,1.212750532
WBGene00003055,594.295222,-2.803110873,0.296072278,79.44944,4.95E-19,7.54E-17,0.143278012,16.12277726
WBGene00003056,351.008473,-0.151387725,0.221147838,0.46881598,0.493532378,0.661088894,0.900383968,0.179740139
WBGene00003057,9.579232716,0.904326131,1.544818865,0.337718946,0.561148858,0.717801215,1.871670052,0.143995811
WBGene00003059,1305.292461,-0.179727627,0.116602833,2.374444359,0.123335475,0.274936775,0.882869662,0.560767166
WBGene00003060,2782.499106,0.505265456,0.09372404,28.93551825,7.48E-08,1.96E-06,1.419384499,5.707079658
WBGene00003061,1763.791709,-0.303684223,0.099845715,9.235420589,0.002373779,0.015433945,0.810180787,1.811523055
WBGene00003062,3665.110039,-0.199820685,0.124439826,2.576405008,0.108467756,0.252931676,0.870658772,0.596996778
WBGene00003063,5106.172196,0.42298668,0.103586358,16.61665012,4.57E-05,0.000575295,1.340700213,3.240109589
WBGene00003064,1389.358914,-0.416410957,0.085175695,23.84211032,1.05E-06,2.08E-05,0.749286334,4.681615397
WBGene00003065,1696.577285,-0.176668498,0.102123684,2.990685349,0.083744718,0.214139881,0.884743708,0.669302443
WBGene00003066,847.1420463,-0.011692483,0.090684183,0.016688003,0.897213597,0.942912069,0.991928143,0.025528805
WBGene00003067,622.9418327,-0.60896544,0.187594247,10.46959273,0.001213555,0.008998023,0.655666713,2.045852924
WBGene00003068,679.1764767,0.104526488,0.132329246,0.623844726,0.42962214,0.60563726,1.075141457,0.217787414
WBGene00003071,1157.015887,-0.123905394,0.17573169,0.497013994,0.480815094,0.649929523,0.917700059,0.187133735
WBGene00003072,1078.297396,-0.224296441,0.15664629,2.048561326,0.152350095,0.316918325,0.856012375,0.499052649
WBGene00003073,5833.303255,0.156165729,0.070555495,4.896837055,0.026905933,0.098892254,1.114321651,1.004837723
WBGene00003074,1382.894086,0.051078146,0.082967129,0.379081781,0.538095062,0.699377923,1.036038881,0.155288081
WBGene00003075,13.51074261,1.866703089,0.922709084,3.921906581,0.047660799,0.147000102,3.646982024,0.832682364
WBGene00003076,1300.663785,-0.190586705,0.080108646,5.656855447,0.01738727,0.072215278,0.876249302,1.141370913
WBGene00003077,883.9708776,-0.384081379,0.126455883,9.204033055,0.002414825,0.015668675,0.766266756,1.804967724
WBGene00003078,1056.839477,0.057221929,0.104840184,0.297876642,0.585216647,0.734708446,1.040460307,0.133884968
WBGene00003079,307.5411939,0.288330276,0.17318155,2.766743324,0.096241788,0.234319473,1.221226056,0.630191618
WBGene00003080,532.7254105,0.090944394,0.091108105,0.996243554,0.318221168,0.502397716,1.065067152,0.298952344
WBGene00003081,898.3207492,-0.010121549,0.107659961,0.008856547,0.925022391,0.958787191,0.993008829,0.018277777
WBGene00003082,1519.522346,-0.594817944,0.126639518,21.92675883,2.83E-06,4.96E-05,0.662128005,4.304096224
WBGene00003083,2340.305904,-0.109971225,0.123725805,0.78996753,0.374109944,0.55519079,0.926606543,0.255557747
WBGene00003084,421.8074607,0.229355235,0.108916332,4.431200037,0.035287689,0.119780084,1.172310907,0.921615385
WBGene00003085,10002.94318,0.103796696,0.090947802,1.302189559,0.253813662,0.436219484,1.074597731,0.36029494
WBGene00003086,3264.066923,0.1830519,0.149786458,1.49260991,0.221811959,0.399569178,1.135282943,0.39840802
WBGene00003087,611.648807,0.33979074,0.16028117,4.488618732,0.034121236,0.117100063,1.265573012,0.931442873
WBGene00003089,106.8444067,0.71046996,0.522185351,1.835978971,0.175422969,0.345264715,1.63633707,0.461847803
WBGene00003090,2259.512213,-0.198028299,0.169185944,1.368910438,0.241999174,0.423465147,0.87174114,0.373182328
WBGene00003091,680.022399,0.126233297,0.175446752,0.517744106,0.471805572,0.64285487,1.091440359,0.191887062
WBGene00003092,47.92776463,4.571950469,0.792987377,28.42663191,9.73E-08,2.49E-06,23.78451116,5.604309241
WBGene00003093,595.873066,1.244511749,0.30095753,16.62350415,4.56E-05,0.000573675,2.369383536,3.241334184
WBGene00003094,2.110112131,2.131354414,1.67407502,1.596428073,0.20641014,1,4.381286063,0
WBGene00003095,11.35959626,0.601201334,0.736222811,0.663060866,0.415481418,0.592930115,1.516979231,0.226996491
WBGene00003096,415.527548,0.059174336,0.380140716,0.024236325,0.876285104,0.929864551,1.041869322,0.031580308
WBGene00003097,1607.711657,0.854044753,0.169272799,25.12276991,5.38E-07,1.17E-05,1.807561523,4.933308713
